Code géographique,Libellé géographique,"1 pièce
Propriétaire
Maison","1 pièce
Propriétaire
Appartement","1 pièce
Propriétaire
Autres logements de métropole","1 pièce
Locataire de logement parc privé vide
Maison","1 pièce
Locataire de logement parc privé vide
Appartement","1 pièce
Locataire de logement parc privé vide
Autres logements de métropole","1 pièce
Locataire de logement parc social vide
Maison","1 pièce
Locataire de logement parc social vide
Appartement","1 pièce
Locataire de logement parc social vide
Autres logements de métropole","1 pièce
Locataire de logement meublé
Maison","1 pièce
Locataire de logement meublé
Appartement","1 pièce
Locataire de logement meublé
Autres logements de métropole","1 pièce
Logé gratuitement
Maison","1 pièce
Logé gratuitement
Appartement","1 pièce
Logé gratuitement
Autres logements de métropole","2 pièces
Propriétaire
Maison","2 pièces
Propriétaire
Appartement","2 pièces
Propriétaire
Autres logements de métropole","2 pièces
Locataire de logement parc privé vide
Maison","2 pièces
Locataire de logement parc privé vide
Appartement","2 pièces
Locataire de logement parc privé vide
Autres logements de métropole","2 pièces
Locataire de logement parc social vide
Maison","2 pièces
Locataire de logement parc social vide
Appartement","2 pièces
Locataire de logement parc social vide
Autres logements de métropole","2 pièces
Locataire de logement meublé
Maison","2 pièces
Locataire de logement meublé
Appartement","2 pièces
Locataire de logement meublé
Autres logements de métropole","2 pièces
Logé gratuitement
Maison","2 pièces
Logé gratuitement
Appartement","2 pièces
Logé gratuitement
Autres logements de métropole","3 pièces
Propriétaire
Maison","3 pièces
Propriétaire
Appartement","3 pièces
Propriétaire
Autres logements de métropole","3 pièces
Locataire de logement parc privé vide
Maison","3 pièces
Locataire de logement parc privé vide
Appartement","3 pièces
Locataire de logement parc privé vide
Autres logements de métropole","3 pièces
Locataire de logement parc social vide
Maison","3 pièces
Locataire de logement parc social vide
Appartement","3 pièces
Locataire de logement parc social vide
Autres logements de métropole","3 pièces
Locataire de logement meublé
Maison","3 pièces
Locataire de logement meublé
Appartement","3 pièces
Locataire de logement meublé
Autres logements de métropole","3 pièces
Logé gratuitement
Maison","3 pièces
Logé gratuitement
Appartement","3 pièces
Logé gratuitement
Autres logements de métropole","4 pièces
Propriétaire
Maison","4 pièces
Propriétaire
Appartement","4 pièces
Propriétaire
Autres logements de métropole","4 pièces
Locataire de logement parc privé vide
Maison","4 pièces
Locataire de logement parc privé vide
Appartement","4 pièces
Locataire de logement parc privé vide
Autres logements de métropole","4 pièces
Locataire de logement parc social vide
Maison","4 pièces
Locataire de logement parc social vide
Appartement","4 pièces
Locataire de logement parc social vide
Autres logements de métropole","4 pièces
Locataire de logement meublé
Maison","4 pièces
Locataire de logement meublé
Appartement","4 pièces
Locataire de logement meublé
Autres logements de métropole","4 pièces
Logé gratuitement
Maison","4 pièces
Logé gratuitement
Appartement","4 pièces
Logé gratuitement
Autres logements de métropole","5 pièces
Propriétaire
Maison","5 pièces
Propriétaire
Appartement","5 pièces
Propriétaire
Autres logements de métropole","5 pièces
Locataire de logement parc privé vide
Maison","5 pièces
Locataire de logement parc privé vide
Appartement","5 pièces
Locataire de logement parc privé vide
Autres logements de métropole","5 pièces
Locataire de logement parc social vide
Maison","5 pièces
Locataire de logement parc social vide
Appartement","5 pièces
Locataire de logement parc social vide
Autres logements de métropole","5 pièces
Locataire de logement meublé
Maison","5 pièces
Locataire de logement meublé
Appartement","5 pièces
Locataire de logement meublé
Autres logements de métropole","5 pièces
Logé gratuitement
Maison","5 pièces
Logé gratuitement
Appartement","5 pièces
Logé gratuitement
Autres logements de métropole","6 pièces ou plus
Propriétaire
Maison","6 pièces ou plus
Propriétaire
Appartement","6 pièces ou plus
Propriétaire
Autres logements de métropole","6 pièces ou plus
Locataire de logement parc privé vide
Maison","6 pièces ou plus
Locataire de logement parc privé vide
Appartement","6 pièces ou plus
Locataire de logement parc privé vide
Autres logements de métropole","6 pièces ou plus
Locataire de logement parc social vide
Maison","6 pièces ou plus
Locataire de logement parc social vide
Appartement","6 pièces ou plus
Locataire de logement parc social vide
Autres logements de métropole","6 pièces ou plus
Locataire de logement meublé
Maison","6 pièces ou plus
Locataire de logement meublé
Appartement","6 pièces ou plus
Locataire de logement meublé
Autres logements de métropole","6 pièces ou plus
Logé gratuitement
Maison","6 pièces ou plus
Logé gratuitement
Appartement","6 pièces ou plus
Logé gratuitement
Autres logements de métropole"
95028,Attainville,1,6,0,1,4,0,0,3,0,0,2,0,0,0,0,4,7,0,1,13,1,0,3,0,1,1,0,0,0,0,24,9,0,12,9,0,0,8,0,0,0,0,0,0,0,107,1,0,8,1,0,18,1,0,1,0,0,4,0,0,189,1,0,6,2,0,2,0,0,1,0,0,3,0,0,182,1,0,6,0,0,0,0,0,1,0,0,0,0,0
95039,Auvers-sur-Oise,6.95669,9.9536,0,1.99416,28.8637,0.99708,0,19.93009,2.97976,0.99134,11.95346,0,0.99708,0,0.99708,51.7565,37.82025,0.99708,15.91312,107.43235,0.99708,0.99708,52.73066,0,5.95952,19.90143,0,3.94828,4.96818,0,244.83777,32.79476,0,25.75803,74.44876,0,3.95408,41.57412,0,2.97979,4.95103,0,10.91638,1.99416,0,525.22545,14.83607,0,36.57191,19.70732,0.99708,46.27501,20.60872,0,2.95694,1.98842,0,9.9137,3.97684,0,644.31379,5.9025,0,12.8024,2.95127,0,12.74564,2.94563,0,2.96264,0.97996,0,9.91367,0,0,689.03923,1.98842,0,15.83925,0,0,7.85701,0.99708,0,0,0,0,3.95395,0,0
95040,Avernes,0,0,0,0.99748,5.99176,0,0,0,0,0,0.99748,0,0,0,0,1.01826,0,0,0,2.99932,0,0,0,0,0,0,0,0.99748,0,0,19.06253,2.99932,0,9.03255,2.00872,0,0,1.00436,0,0,0,0,0.99748,0,0,51.27859,0,0,10.10609,4.03832,0,0,0,0,0,0,0,0.99748,0,0,67.51567,0,0,9.11578,0,0,0,0,0,1.03236,0,0,4.01773,0,0,136.4049,0,0,4.08729,0,0,0,0,0,0,0,0,3.04108,0,0
95042,Baillet-en-France,1.90927,8.65523,0,0,7.69266,0,0,7.7006,0,0,1.92515,4,1.92515,0,0.96257,5.75957,26.90445,0,0.95463,33.61891,0,0,0.95463,0,0,1.90927,1,1.92515,0,0.95463,42.85052,44.00931,0,5.69644,20.06353,0,0,0,0,0.93895,0,0,0,0.94676,0,121.80378,7.62152,0,5.68069,2.87978,0,0,0,0,0,0,0,0.92352,0,0,190.48518,1.89378,0,8.52129,0,0,0,0,0,0,0,0,4.77356,0.95463,0,238.75614,3.78717,0,1.87028,0,0,0,0,0,0,0,0,2.85616,0,0
95046,Banthelu,0,0,0,0,2.04196,0,0,0,0,0,0,0,0,0,0,1.02098,0,0,0,3.06294,0,0,0,0,0,0,0,0,0,0,2.04196,0,0,1.02098,0,0,0,0,0,0,0,0,1.02098,0,0,7.14685,0,0,1.02098,1.02098,0,0,0,0,0,0,0,0,0,0,12.25175,0,0,3.06294,0,0,0,0,0,0,0,0,0,0,0,18.37762,0,0,0,0,0,0,0,0,0,0,0,1.02098,0,0
95051,Beauchamp,4.87292,5.84918,0,0,65.32586,17.55617,0,15.60775,7.81026,0.96779,7.81026,2.92459,0,2.92459,0,30.19672,124.80691,0,7.78479,191.86455,1.95256,0,154.91036,0,3.90087,8.76106,0.97628,0,6.82972,0,286.65352,149.91384,0,21.31306,180.53986,8.77377,12.64929,174.50125,2.91608,5.83647,9.70333,0,0.97628,4.8729,0,567.61252,136.95119,0,16.46957,42.50317,0,16.45682,144.70696,0,1.94831,0,0,7.76784,3.87119,0,613.57525,50.45267,0,13.52821,6.76195,0,20.17694,19.29757,0.95937,0,0.96357,0,3.88392,4.8644,0,762.0353,7.78903,0,4.83479,0,0,11.58438,7.73409,0,3.85862,0,0.99999,9.64026,0.96357,0
95052,Beaumont-sur-Oise,4.8634,28.26319,0,2.92497,123.87698,60.49683,0.97267,42.90539,1.95229,3.90459,38.02467,26.83248,0.97615,0,8.78185,35.04429,259.40882,0,14.60754,386.83041,0.97615,2.91804,170.53456,1.95229,1.95229,49.69697,0.97615,2.90766,10.69951,0.97615,157.41888,254.10874,0,25.24129,268.26631,0.97615,9.65434,284.56097,4.84616,0.96922,27.22813,0.97267,2.92844,20.44707,0,405.61019,91.39388,0,22.29216,61.07508,0,11.67909,178.28307,1.92467,0.96233,10.67875,0.96577,11.62721,7.77465,0,501.23289,29.13213,0.96922,10.64084,10.62366,0,4.8427,80.15777,0,3.89764,1.93154,0,10.70989,8.66474,0,462.89744,11.65156,0,10.65806,10.65804,0,0.97267,15.44622,0,3.88378,0,0,14.50392,0.95891,0
95054,Le Bellay-en-Vexin,0,0,0,0.95726,0,0,0,0,0,0,0,0,0,0,0,0.95726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78632,0.95726,0,1.91453,0.95726,0,0,0,0,0,0,0,0,0,0,14.35897,0,0,2.87179,0.95726,0,0,0.95726,0,0,0,0,0,0,0,25.84615,0,0,1.91453,0,0,0,0,0,0,0,0,0.95726,0,0,26.80342,0,0,2.87179,0,0,0,0,0,0,0,0,0.95726,0,0
95055,Bellefontaine,0,0.98007,0,2.04942,0,0,0,0,0,0,0,0,0,0,0,5.19278,1.04779,0,0,4.16807,0,0,0,0,1.02471,0,0,0,2.09557,0,12.32214,1.04779,0,1.02471,3.14336,1.04779,0,1.00214,0,0,0,0,0,0,0,31.57149,3.98701,0,4.07779,0,0,0,1.00214,0,2.04942,0,0,0,0,0,42.7089,0,0,0,0.93738,0,0,0,0,0,0,0,0,0,0,46.25288,0,0,1.04779,0,0,0,0,0,0,0,0,1.00214,0,0
95056,Belloy-en-France,1,4,0,4,11,1,0,0,0,1,0,0,1,0,1,11,13,0,6,27,1,0,0,0,0,7,0,1,3,0,80,17,1,9,8,1,0,0,0,1,1,0,5,1,0,183,5,0,8,10,0,0,0,0,0,1,0,4,0,0,228,3,0,11,2,0,0,0,0,0,0,0,1,0,0,173,1,0,2,0,0,0,0,0,1,0,0,2,0,0
